Case ID,Activity,Start Date,End Date,Agent Position,Customer ID,Product,Service Type,Resource
Case 1,Inbound Call,9.3.10 8:05,9.3.10 8:10,FL,Customer 1,MacBook Pro,Referred to Servicer,Helen
Case 1,Handle Case,11.3.10 10:30,11.3.10 10:32,FL,Customer 1,MacBook Pro,Referred to Servicer,Helen
Case 1,Call Outbound,11.3.10 11:45,11.3.10 11:52,FL,Customer 1,MacBook Pro,Referred to Servicer,Henk
Case 2,Inbound Call,4.3.10 11:43,4.3.10 11:46,FL,Customer 2,MacBook Pro,Referred to Servicer,Susi
Case 3,Inbound Call,25.3.10 9:32,25.3.10 9:33,FL,Customer 3,MacBook Pro,Referred to Servicer,Mary
Case 4,Inbound Call,6.3.10 11:41,6.3.10 11:51,FL,Customer 4,iPhone,Referred to Servicer,Fred
Case 5,Inbound Call,18.3.10 10:54,18.3.10 11:01,FL,Customer 5,MacBook Pro,Product Assistance,Kenny
Case 6,Inbound Call,25.3.10 17:09,25.3.10 17:13,FL,Customer 6,MacBook Pro,Referred to Servicer,Harold
Case 6,Inbound Call,25.3.10 17:16,25.3.10 17:18,FL,Customer 6,MacBook Pro,Referred to Servicer,Nancy
Case 6,Inbound Call,26.3.10 8:36,26.3.10 8:40,FL,Customer 6,MacBook Pro,Referred to Servicer,Elena
Case 7,Inbound Call,18.3.10 11:49,18.3.10 11:50,FL,Customer 7,MacBook Pro,Product Assistance,Karen
Case 8,Inbound Call,11.3.10 9:20,11.3.10 9:23,FL,Customer 8,MacBook Pro,Referred to Servicer,Karen
Case 9,Inbound Email,19.3.10 19:47,21.3.10 8:17,FL,Customer 9,MacBook Pro,Product Assistance,Samuil
Case 9,Call Outbound,21.3.10 8:32,21.3.10 8:33,FL,Customer 9,MacBook Pro,Product Assistance,Samuil
Case 9,Handle Email,21.3.10 8:33,21.3.10 8:33,FL,Customer 9,MacBook Pro,Product Assistance,Samuil
Case 10,Handle Email,27.3.10 11:29,27.3.10 11:30,FL,Customer 10,iPhone,Product Assistance,Jochem
Case 11,Inbound Call,27.3.10 8:09,27.3.10 8:11,FL,Customer 11,iPhone,Product Assistance,Irena
Case 12,Inbound Call,29.3.10 9:28,29.3.10 9:29,FL,Customer 3,MacBook Pro,Product Assistance,Wil
Case 13,Inbound Call,5.3.10 10:13,5.3.10 10:15,FL,Customer 12,MacBook Pro,Product Assistance,Ton
Case 14,Inbound Call,4.3.10 7:49,4.3.10 7:50,FL,Customer 3,iPhone,Product Assistance,Wil
Case 15,Inbound Call,7.3.10 8:06,7.3.10 8:13,FL,Customer 13,iPhone,Product Assistance,Erik
Case 16,Inbound Call,25.3.10 10:26,25.3.10 10:34,FL,Customer 14,MacBook Pro,Referred to Servicer,Helen
Case 17,Inbound Call,4.3.10 7:35,4.3.10 7:46,FL,Customer 15,MacBook Pro,Referred to Servicer,Kenny
Case 17,Handle Case,4.3.10 7:53,4.3.10 7:55,FL,Customer 15,MacBook Pro,Referred to Servicer,Kenny
Case 17,Handle Case,8.3.10 11:16,8.3.10 11:18,FL,Customer 15,MacBook Pro,Referred to Servicer,Kenny
Case 17,Handle Case,11.3.10 11:15,11.3.10 11:19,FL,Customer 15,MacBook Pro,Referred to Servicer,Kenny
Case 17,Inbound Call,14.3.10 17:53,14.3.10 17:56,FL,Customer 15,MacBook Pro,Referred to Servicer,Monique
Case 18,Inbound Call,25.3.10 10:35,25.3.10 10:38,FL,Customer 16,iPhone,Referred to Servicer,Karen
Case 19,Inbound Email,14.3.10 14:08,18.3.10 8:04,FL,Customer 17,MacBook Pro,Product Assistance,Henk
